dataset,scanner_label,image_name,mean_intensity,std_intensity,fft_feature,lbp_mean,lbp_std,noise_variance,prnu_variance,prnu_energy,prnu_mean
Flatfield,Canon120-1-20251207T055142Z-3-001,150.tif,254.99939346313477,0.07268416489113524,288.5134151811012,7.974109649658203,0.27658127330950505,0.0032386335,0.0040396913,1059.0,-0.0002708435
Flatfield,Canon120-1-20251207T055142Z-3-001,300.tif,254.99900817871094,0.12783262250485228,314.6902009627156,7.973873138427734,0.27702761144834337,0.010497995,0.01277152,3348.0,-0.000289917
Flatfield,Canon120-2-20251207T055143Z-3-001,150.tif,254.60198211669922,8.598936114950869,1106.3662032076775,7.962688446044922,0.3470085680932521,23.111649,33.78136,8859623.0,-0.12418747
Flatfield,Canon120-2-20251207T055143Z-3-001,300.tif,254.60013961791992,8.631615627511604,1106.969387527544,7.962455749511719,0.3474613738331995,23.288177,34.044453,8928629.0,-0.124736786
Flatfield,Canon220-20251207T055158Z-3-001,150.tif,254.57571411132812,9.58063840787998,695.4559826422216,7.96685791015625,0.321406653083619,28.707582,42.034527,11023706.0,-0.13259888
Flatfield,Canon220-20251207T055158Z-3-001,300.tif,254.57363891601562,9.643862480128695,758.8650898882963,7.966663360595703,0.323863646297558,29.0983,42.55714,11160733.0,-0.13299942
Flatfield,Canon9000-1-20251207T055209Z-3-001,150.tif,254.18453979492188,12.816769472361,806.3094366789061,7.959663391113281,0.36019925377090056,7.815492,15.397844,4036784.0,-0.035499573
Flatfield,Canon9000-1-20251207T055209Z-3-001,300.tif,254.23350143432617,12.383468680813667,843.0061118471485,7.959800720214844,0.36178908513594593,8.523001,16.746393,4390505.0,-0.045269012
Flatfield,Canon9000-2-20251207T060941Z-3-001,150.tif,254.99854278564453,0.44081578378871566,475.94638605195064,7.975131988525391,0.27158191138805493,0.083511084,0.118873216,31162.0,-0.00064086914
Flatfield,Canon9000-2-20251207T060941Z-3-001,300.tif,254.99875259399414,0.4190379145283168,468.2829347734506,7.975067138671875,0.27168129393255525,0.105258755,0.13355224,35010.0,-0.00061035156
Flatfield,EpsonV370-1-20251207T062124Z-3-001,150.tif,254.73663330078125,3.3926546766772656,606.2242747073799,7.878421783447266,0.7528940456976438,2.7864814,4.1006217,1075330.0,-0.03791809
Flatfield,EpsonV370-1-20251207T062124Z-3-001,300.tif,254.75067520141602,2.9241427872241,607.0798005027274,7.875648498535156,0.7973544957397605,2.0354612,2.9456224,772423.0,-0.030620575
Flatfield,EpsonV370-2-20251207T062127Z-3-001,150.tif,254.74541473388672,3.2983727624942527,584.7840341833601,7.900367736816406,0.6638723433799529,2.418901,3.5313659,926053.0,-0.035297394
Flatfield,EpsonV370-2-20251207T062127Z-3-001,300.tif,254.78016662597656,2.509849556538107,529.0486934720155,7.902091979980469,0.6842605362944129,1.154172,1.6998049,445702.0,-0.020339966
Flatfield,EpsonV39-1-20251207T060941Z-3-001,150.tif,254.99787139892578,0.10699154288481443,303.2724199951307,7.968090057373047,0.31690061525075996,0.0074527925,0.009073452,2379.0,-0.0013084412
Flatfield,EpsonV39-1-20251207T060941Z-3-001,300.tif,254.9952278137207,0.1724403653651207,331.98134230695496,7.957080841064453,0.37210038501550513,0.018840268,0.02283994,5989.0,-0.002506256
Flatfield,EpsonV39-2-20251207T060948Z-3-001,150.tif,254.9404411315918,0.4214548118485094,402.9310114210284,7.823844909667969,0.87362019381241,0.06400884,0.08041383,21115.0,-0.011554718
Flatfield,EpsonV39-2-20251207T060948Z-3-001,300.tif,254.905517578125,0.49846359471621976,446.8159242204384,7.614009857177734,1.2221172861708973,0.11889735,0.14395508,38097.0,-0.037059784
Flatfield,EpsonV550-20251207T062153Z-3-001,150.tif,254.88211059570312,1.231867300828552,362.8806670556888,7.927829742431641,0.5030789406000326,0.026847964,0.040632986,10655.0,-0.0035514832
Flatfield,EpsonV550-20251207T062153Z-3-001,300.tif,254.87890243530273,1.2534296787847239,383.42045526468456,7.923954010009766,0.5309376350372832,0.03942832,0.055262096,14490.0,-0.0035858154
Flatfield,HP-20251207T062211Z-3-001,150.tif,253.70199966430664,0.5323672469451933,457.8444244831622,6.831230163574219,2.481555253013345,0.17219305,0.22050108,58334.0,-0.0450058
Flatfield,HP-20251207T062211Z-3-001,300.tif,252.33884048461914,0.6643424672748708,504.74389279414305,6.479251861572266,2.828813602391646,0.25019875,0.30915764,82026.0,0.061210632
Official,Canon120-1,s1_10.tif,247.70552444458008,30.744207128672976,7965.178648201876,6.924114227294922,1.842896763149772,169.49022,226.32513,59331920.0,-0.09038162
Official,Canon120-1,s1_11.tif,247.58765029907227,31.876484679053306,9885.28927133405,7.016712188720703,1.7153750866372013,409.67398,542.1504,142122350.0,-0.057418823
Official,Canon120-1,s1_12.tif,251.56397247314453,21.207110502838745,6732.556677240816,6.8040771484375,1.9866684066088256,163.52977,218.1141,57179760.0,-0.09689331
Official,Canon120-1,s1_13.tif,249.47507858276367,27.361292725606408,8566.752144505115,6.874576568603516,1.9162109305314934,292.99408,391.6182,102663020.0,-0.10113907
Official,Canon120-1,s1_15.tif,248.6379165649414,26.675824991820953,9839.829317803533,6.744968414306641,2.1064060262860345,277.6167,355.6677,93238340.0,-0.091362
Official,Canon120-1,s1_16.tif,250.25020599365234,24.508528567057304,8361.280964202751,6.885234832763672,1.8753400264843012,242.07004,325.16852,85243160.0,-0.09116745
Official,Canon120-1,s1_17.tif,253.11317825317383,16.099421965180618,6251.780077531946,7.125816345214844,1.5423286910454892,109.63527,142.15955,37268256.0,-0.087005615
Official,Canon120-1,s1_18.tif,250.0460090637207,26.653216250206363,9806.775493129493,6.813678741455078,2.057042627838591,274.03143,364.57098,95574230.0,-0.12574387
Official,Canon120-1,s1_2.tif,244.60906600952148,34.75449291212864,13120.215260960857,6.523048400878906,2.4464282267379533,564.3841,705.2209,184871220.0,-0.082862854
Official,Canon120-1,s1_20.tif,246.99014282226562,31.88984056622838,10663.41047110776,6.4905548095703125,2.613093385399602,396.5472,535.3925,140350850.0,-0.058662415
Official,Canon120-1,s1_21.tif,252.62836837768555,18.155950628570537,6457.557239793188,7.107234954833984,1.5556741998167307,153.47151,199.9866,52426948.0,-0.079776764
Official,Canon120-1,s1_22.tif,253.03533554077148,16.53828147222642,5661.585731065776,7.079505920410156,1.597177373227351,101.74082,139.52345,36577710.0,-0.0972023
Official,Canon120-1,s1_23.tif,251.2226676940918,21.082793347991423,7666.5798254904175,6.822216033935547,2.0609341111453947,189.10773,236.71426,62056960.0,-0.11969757
Official,Canon120-1,s1_24.tif,252.2175407409668,18.788541859519803,6677.290181475042,7.0927276611328125,1.6196717878909124,160.27473,198.418,52015844.0,-0.08179474
Official,Canon120-1,s1_25.tif,249.19114303588867,29.786572545470538,9500.67060938686,6.937679290771484,1.7977715861121273,260.32983,363.22656,95219690.0,-0.08754349
Official,Canon120-1,s1_26.tif,250.7742042541504,24.35575881349234,8712.78213956458,6.881904602050781,1.9257634248492523,216.14694,290.58218,76178056.0,-0.11866379
Official,Canon120-1,s1_27.tif,245.8245735168457,35.159239546410404,10687.722491570992,6.7551422119140625,2.0421704159672727,305.4825,397.79822,104282560.0,-0.0901413
Official,Canon120-1,s1_28.tif,252.1349105834961,20.49653491553244,7398.91989181218,7.0367279052734375,1.6661751917101393,160.40868,216.07549,56645310.0,-0.09596634
Official,Canon120-1,s1_29.tif,253.10028457641602,13.786169941992755,5282.054400198557,6.982994079589844,1.7995502626467805,62.83858,82.719734,21687120.0,-0.10028839
Official,Canon120-1,s1_3.tif,249.7855110168457,26.48528017211986,9118.534447418748,6.939064025878906,1.7786467244338218,256.60995,347.14148,91002840.0,-0.082588196
Official,Canon120-1,s1_31.tif,244.5486183166504,35.06445015280524,10179.82325208876,6.595737457275391,2.2219226575886237,377.45905,512.38586,134320780.0,-0.08508682
Official,Canon120-1,s1_33.tif,245.04771041870117,35.850896003507046,12855.789696694974,6.723361968994141,2.066787874058181,514.57733,667.18036,174898530.0,-0.06487656
Official,Canon120-1,s1_34.tif,251.4141845703125,21.34102098177468,7882.823197581953,6.966087341308594,1.7645449593348632,159.41481,211.36842,55411384.0,-0.09592056
Official,Canon120-1,s1_35.tif,248.02281951904297,32.53734904453974,11655.960526813764,6.859004974365234,1.9347196087582899,321.05893,436.47635,114422320.0,-0.10047531
