filepath,label,scanner_name,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,fft_band_0,fft_band_1,fft_band_2,fft_band_3,fft_band_4,wavelet_0,wavelet_1,wavelet_2,wavelet_3,wavelet_4,wavelet_5,mean,std,skew,kurt,mad,p5,p95,entropy
processed\residual\Canon120-1\150\s1_1.png,0,Canon120-1,0.019073486328125,0.006927490234375,0.0001983642578125,6.103515625e-05,6.103515625e-05,0.0001983642578125,0.0003662109375,0.0013275146484375,0.00103759765625,0.0132598876953125,0.0032501220703125,0.0195770263671875,0.0177764892578125,0.0909881591796875,0.101287841796875,0.0568084716796875,0.40411376953125,0.2636871337890625,0.05960147827863693,0.18540813028812408,0.31692782044410706,0.34893617033958435,0.0891093760728836,0.043033428490161896,0.0672338604927063,0.05794277414679527,0.23461255431175232,0.29284778237342834,0.30432960391044617,0.0,0.4495276212692261,-2.1734023094177246,52.297271728515625,0.0,-0.9583282470703125,0.0416717529296875,0.4215806722640991
processed\residual\Canon120-1\150\s1_10.png,0,Canon120-1,0.012420654296875,0.006103515625,0.0009002685546875,0.0002899169921875,3.0517578125e-05,0.0001373291015625,0.0002288818359375,0.0004730224609375,0.00054931640625,0.0135345458984375,0.00177001953125,0.0171051025390625,0.0114898681640625,0.07928466796875,0.08551025390625,0.0475921630859375,0.551239013671875,0.1713409423828125,0.05823040008544922,0.1857372224330902,0.3203173577785492,0.3478028178215027,0.0878927931189537,0.058650270104408264,0.07118691504001617,0.0725884884595871,0.22361953556537628,0.3074452579021454,0.2665095329284668,0.0,0.5898790955543518,-1.7629239559173584,65.2446517944336,0.0,0.035858154296875,0.035858154296875,0.3811865448951721
processed\residual\Canon120-1\150\s1_100.png,0,Canon120-1,0.009490966796875,0.003631591796875,0.000518798828125,6.103515625e-05,1.52587890625e-05,0.0001678466796875,0.0001983642578125,0.00067138671875,0.0004730224609375,0.011993408203125,0.00140380859375,0.0135955810546875,0.006317138671875,0.06439208984375,0.080322265625,0.048095703125,0.6741790771484375,0.08447265625,0.061323489993810654,0.1870352327823639,0.31764206290245056,0.3460306227207184,0.08795333653688431,0.07113716006278992,0.07250698655843735,0.06482798606157303,0.25773489475250244,0.2613498866558075,0.27244308590888977,0.0,0.34318360686302185,-4.327557563781738,171.69285583496094,0.0,0.0082855224609375,0.0082855224609375,0.2180006504058838
processed\residual\Canon120-1\150\s1_11.png,0,Canon120-1,0.0200653076171875,0.0085296630859375,7.62939453125e-05,1.52587890625e-05,1.52587890625e-05,0.0001068115234375,0.0001373291015625,0.0006561279296875,0.0003204345703125,0.013397216796875,0.00152587890625,0.0168609619140625,0.0087127685546875,0.072601318359375,0.1046295166015625,0.0595550537109375,0.541290283203125,0.1515045166015625,0.05806681513786316,0.18377521634101868,0.3174165189266205,0.35058143734931946,0.09014243632555008,0.038216546177864075,0.0698479488492012,0.07248459756374359,0.22928202152252197,0.290623277425766,0.29954561591148376,0.0,0.4033922851085663,-2.747602939605713,95.1690902709961,0.0,0.0084075927734375,0.0084075927734375,0.33856528997421265
processed\residual\Canon120-1\150\s1_12.png,0,Canon120-1,0.008148193359375,0.009002685546875,0.0002593994140625,0.0002899169921875,0.0001068115234375,0.0009002685546875,0.0011444091796875,0.0036163330078125,0.0023651123046875,0.022796630859375,0.0073394775390625,0.0619659423828125,0.0118560791015625,0.0480499267578125,0.0560150146484375,0.0457000732421875,0.508514404296875,0.2119293212890625,0.06506515294313431,0.19232195615768433,0.31877848505973816,0.3401770293712616,0.08364488929510117,0.15116137266159058,0.06115952879190445,0.034183114767074585,0.436937153339386,0.21235373616218567,0.10420509427785873,0.0,0.5846118927001953,-2.9963908195495605,20.687484741210938,0.0,-0.8804473876953125,0.1195526123046875,0.5901758670806885
processed\residual\Canon120-1\150\s1_13.png,0,Canon120-1,0.0162506103515625,0.00836181640625,0.0002899169921875,6.103515625e-05,1.52587890625e-05,0.000335693359375,0.0002899169921875,0.00115966796875,0.0005950927734375,0.0114898681640625,0.002227783203125,0.0152435302734375,0.00946044921875,0.086822509765625,0.1083526611328125,0.06439208984375,0.484405517578125,0.19024658203125,0.058306414633989334,0.1836862862110138,0.3173515200614929,0.35085877776145935,0.08978026360273361,0.04134466126561165,0.06314630061388016,0.07343795895576477,0.20134516060352325,0.30925795435905457,0.3114679753780365,0.0,0.435915470123291,-1.117555856704712,62.09282684326172,0.0,0.0164337158203125,0.0164337158203125,0.35607418417930603
processed\residual\Canon120-1\150\s1_14.png,0,Canon120-1,0.0030364990234375,0.0005340576171875,1.52587890625e-05,0.0,0.0,0.0001220703125,0.0001983642578125,0.0005340576171875,0.0003662109375,0.01312255859375,0.001007080078125,0.014892578125,0.007232666015625,0.07696533203125,0.0837554931640625,0.0430908203125,0.6737823486328125,0.0813446044921875,0.06305699795484543,0.1895969659090042,0.31559884548187256,0.3445541262626648,0.0871780514717102,0.07923077046871185,0.07068469375371933,0.06377872824668884,0.24617968499660492,0.2873193621635437,0.25280675292015076,0.0,0.22902566194534302,-13.197638511657715,353.51885986328125,0.0,0.019317626953125,0.019317626953125,0.12699198722839355
processed\residual\Canon120-1\150\s1_15.png,0,Canon120-1,0.005523681640625,0.0014190673828125,0.0003204345703125,0.0003204345703125,0.0,0.0001373291015625,0.000274658203125,0.001434326171875,0.001373291015625,0.030670166015625,0.0047760009765625,0.054351806640625,0.0070037841796875,0.0542755126953125,0.061492919921875,0.0383148193359375,0.52679443359375,0.211517333984375,0.06670475751161575,0.19139455258846283,0.3131742477416992,0.34211111068725586,0.08660193532705307,0.13360093533992767,0.02362900972366333,0.013199984095990658,0.6954840421676636,0.05584670230746269,0.0782393366098404,0.0,1.6150988340377808,-4.991802215576172,25.65506935119629,0.0,-1.636016845703125,0.363983154296875,0.5060390830039978
processed\residual\Canon120-1\150\s1_16.png,0,Canon120-1,0.0159912109375,0.0067901611328125,0.00018310546875,7.62939453125e-05,7.62939453125e-05,0.0001220703125,0.00030517578125,0.00079345703125,0.001068115234375,0.0181427001953125,0.002838134765625,0.045013427734375,0.011749267578125,0.077117919921875,0.081817626953125,0.05255126953125,0.4586029052734375,0.2267608642578125,0.0666336789727211,0.18909500539302826,0.3132176399230957,0.34367606043815613,0.08736233413219452,0.1544622927904129,0.023830894380807877,0.019041728228330612,0.5936493277549744,0.09894854575395584,0.110067218542099,0.0,0.8455783724784851,-5.0593390464782715,36.65362548828125,0.0,-0.8785552978515625,0.1214447021484375,0.5088843703269958
processed\residual\Canon120-1\150\s1_17.png,0,Canon120-1,0.0020751953125,0.0008392333984375,1.52587890625e-05,0.0,0.0,7.62939453125e-05,0.00018310546875,0.00048828125,0.0004119873046875,0.0133819580078125,0.00067138671875,0.015411376953125,0.0049591064453125,0.0567779541015625,0.0611419677734375,0.03289794921875,0.7610321044921875,0.0496368408203125,0.06367318332195282,0.19098155200481415,0.31429311633110046,0.34405654668807983,0.08698119223117828,0.09103214740753174,0.07170359790325165,0.07056047767400742,0.2514202296733856,0.2690727412700653,0.24621082842350006,0.0,0.2119515836238861,-20.151958465576172,752.7835693359375,0.0,0.0128936767578125,0.0128936767578125,0.09555701166391373
